koi_disposition,koi_period,koi_prad,koi_sma,koi_teq,koi_impact,koi_duration,koi_depth,koi_slogg,koi_srad,koi_kepmag,koi_smass,planet_star_radius_ratio,transit_depth,koi_max_sngle_ev,koi_max_mult_ev,kepoi_name,kepler_name,koi_dor,koi_parm_prov,koi_ror,koi_srho,koi_fittype,koi_datalink_dvr,koi_period_err1,koi_period_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_num_transits,detection_confidence,period_precision,depth_precision,is_grazing_transit,planets_in_system,is_multi_planet_system,physical_realism_score,detection_quality_score
CONFIRMED,9.488035,2.26,0.0853,793.0,0.146,2.9575,616.0,4.467,0.927,15.347,0.919,0.022346213,499.3532822373548,5.135849,28.47082,K00752.01,Kepler-227 b,24.81,q1_q17_dr25_koi,0.022344,3.20796,LS+MCMC,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,2.78e-05,-2.78e-05,19.5,-19.5,0.000832,-0.000528,142.0,16.8033345,341296.2230215827,31.58974358974359,0,2747.0,1,3.0,5.479277737765887
CONFIRMED,54.418385,2.83,0.2734,443.0,0.586,4.507,875.0,4.467,0.927,15.347,0.919,0.027982207,783.0038574106726,7.027669,20.109507,K00752.02,Kepler-227 c,77.9,q1_q17_dr25_koi,0.027954,3.02368,LS+MCMC,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,0.000248,-0.000248,35.5,-35.5,0.00908,-0.00135,25.0,13.568588,219428.97177419355,24.64788732394366,0,2747.0,1,3.0,3.7182285382901115
CANDIDATE,19.89914,14.6,0.1419,638.0,0.969,1.7822,10800.0,4.544,0.868,15.436,0.961,0.15417302,23769.32014028112,37.159767,187.4491,K00753.01,UNVETTED,53.5,q1_q17_dr25_koi,0.154046,7.29555,LS+MCMC,010/010811/010811496/dv/kplr010811496-20160209194854_dvr.pdf,1.49e-05,-1.49e-05,171.0,-171.0,5.03,-0.0422,56.0,112.30443349999999,1335512.7516778524,63.1578947368421,1,1.0,0,2.0,5.582230317866034
FALSE POSITIVE,1.7369524,33.46,0.0267,1395.0,1.276,2.40641,8080.0,4.564,0.791,15.597,0.836,0.3877258,150331.29723483647,39.06655,541.8951,K00754.01,UNVETTED,3.278,q1_q17_dr25_koi,0.387394,0.2208,LS+MCMC,010/010848/010848459/dv/kplr010848459-20160209194854_dvr.pdf,2.63e-07,-2.63e-07,12.8,-12.8,0.109,-0.085,621.0,290.480825,6604381.74904943,631.25,1,1.0,0,1.0,9.982676831294187
CONFIRMED,2.5255919,2.75,0.0374,1406.0,0.701,1.6545,603.0,4.438,1.046,15.509,1.095,0.024097737,580.7009244633576,4.749945,33.1919,K00755.01,Kepler-664 b,8.75,q1_q17_dr25_koi,0.024064,1.98635,LS+MCMC,010/010854/010854555/dv/kplr010854555-20160209194854_dvr.pdf,3.76e-06,-3.76e-06,16.9,-16.9,0.00375,-0.00152,515.0,18.9709225,671699.9734042552,35.680473372781066,0,2747.0,1,2.0,6.796040445759447
CONFIRMED,11.09432,3.9,0.0992,835.0,0.538,4.5945,1520.0,4.486,0.972,15.714,1.053,0.03677677,1352.5308601825152,9.046456,55.204865,K00756.01,Kepler-228 d,16.36,q1_q17_dr25_koi,0.036779,0.67324,LS+MCMC,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,2.04e-05,-2.04e-05,24.2,-24.2,0.00512,-0.00107,95.0,32.125660499999995,543839.2156862745,62.8099173553719,0,2747.0,1,2.0,5.301195658739044
CONFIRMED,4.134435,2.77,0.0514,1160.0,0.762,3.1402,686.0,4.486,0.972,15.714,1.053,0.026120936,682.3033554960172,5.500643,33.546658,K00756.02,Kepler-228 c,6.96,q1_q17_dr25_koi,0.026133,0.37377,LS+MCMC,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,1.05e-05,-1.05e-05,18.7,-18.7,0.00197,-0.00206,240.0,19.523650500000002,393755.7142857143,36.68449197860963,0,2747.0,1,2.0,6.0429583041378985
CONFIRMED,2.5665889,1.59,0.0374,1360.0,0.755,2.429,227.0,4.486,0.972,15.714,1.053,0.014993606,224.80823587294,4.3886313,12.325094,K00756.03,Kepler-228 b,5.54,q1_q17_dr25_koi,0.014983,0.48909,LS+MCMC,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,1.78e-05,-1.78e-05,16.8,-16.8,0.00394,-0.00142,355.0,8.35686265,144190.38764044945,13.511904761904761,0,2747.0,1,3.0,6.225996290415826
FALSE POSITIVE,7.3617897,39.21,0.082,1342.0,1.169,5.022,234.0,3.986,1.958,12.66,1.358,0.18355212,33691.38065383752,10.964684,46.15308,K00114.01,UNVETTED,2.4,q1_q17_dr25_koi,0.183387,0.00485,LS+MCMC,006/006721/006721123/dv/kplr006721123-20160209194854_dvr.pdf,2.13e-05,-2.13e-05,5.8,-5.8,7.13,-0.0431,185.0,28.558882,345623.9295774648,40.3448275862069,1,1.0,0,1.0,5.883530226217306
CONFIRMED,16.068647,5.76,0.1158,600.0,0.052,3.5347,4910.0,4.485,0.848,15.841,0.801,0.062258963,3876.178436044783,20.457163,137.44981,K00757.01,Kepler-229 c,36.85,q1_q17_dr25_koi,0.062161,3.6659,LS+MCMC,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,1.09e-05,-1.09e-05,33.3,-33.3,0.000913,-0.000428,69.0,78.95348650000001,1474187.7981651374,147.44744744744747,0,2747.0,1,2.0,5.538053207686
CONFIRMED,2.4706135,13.04,0.0354,1339.0,0.818,1.74319,14200.0,4.457,0.964,11.338,0.971,0.1239869,15372.751745177296,544.1701,6468.04,K00001.01,Kepler-1 b,8.3977,q1_q17_dr25_koi,0.123871,1.83538,LS+MCMC,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,2.7e-08,-2.7e-08,4.2,-4.2,5.1e-05,-7.1e-05,432.0,3506.10505,91504203.7037037,3380.9523809523807,0,2747.0,1,1.0,41.82266370593401
CONFIRMED,2.2047355,16.1,0.0376,2048.0,0.224,3.88864,6670.0,4.019,1.952,10.463,1.449,0.07559992,5715.347277132896,232.27,3862.1846,K00002.01,Kepler-2 b,4.602,q1_q17_dr25_koi,0.075522,0.37936,LS+MCMC,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,4.3e-08,-4.3e-08,1.7,-1.7,0.000298,-0.00035,611.0,2047.2273,51272918.60465116,3923.529411764706,0,2747.0,1,1.0,27.57988076044385
