toi,toipfx,pl_pnum,ra,dec,st_pmra,st_pmraerr1,st_pmdec,pl_orbper,pl_orbpererr1,pl_trandurh,pl_trandurherr1,pl_trandep,pl_trandeperr1,pl_rade,pl_radeerr1,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_dist,st_disterr1,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_rad,st_raderr1,st_logg_missing,st_teff_missing,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC,rastr_01h34m22.42s,rastr_03h41m50.17s,rastr_10h06m26.93s,decstr_-30d27m14.82s
1000.01,1000,1,112.357708,-12.69596,-5.964,0.085,-0.076,2.1713484,0.0002637,2.0172196,0.3195879,656.8860989,37.77821,5.8181633,1.9105465,22601.94858,3127.204052,9.604,0.013,485.735,11.9515,10249.0,264.7,-264.7,4.19,0.07,2.16986,0.0725729,0,0,False,False,True,False,False,False,False,False,False
1001.01,1001,1,122.580465,-5.513852,-4.956,0.102,-15.555,1.9316462,5.3e-06,3.166,0.647,1286.0,1186.49,11.2154,2.6242,44464.5,4045.0,9.42344,0.006,295.862,5.91,7070.0,126.4,-126.4,4.03,0.09,2.01,0.09,0,0,False,False,False,False,True,False,False,False,False
1002.01,1002,1,104.726966,-10.580455,-1.462,0.206,-2.249,1.8675574,3e-06,1.408,0.184,1500.0,1.7584,23.7529,0.7174066,2860.61,2037.0,9.299501,0.058,943.109,106.333,8924.0,124.0,-124.0,4.33,-999.0,5.73,0.06,1,0,False,False,True,False,False,False,False,False,False
1003.01,1003,1,110.559945,-25.207017,-0.939,0.041,1.64,2.74323,0.00108,3.167,0.642,383.41,0.781988,10.5468,0.7174066,1177.36,1631.0,9.3003,0.037,7728.17,1899.57,5388.5,567.0,-567.0,4.15,1.64,1.23434,0.06,0,0,False,False,True,False,False,False,False,False,False
1004.01,1004,1,122.178195,-48.802811,-4.496,0.069,9.347,3.5730141,1.28e-05,3.37,1.029,755.0,1306.55,11.3113,3.24714,54679.3,4260.0,9.1355,0.006,356.437,4.6175,9219.0,171.1,-171.1,4.14,0.07,2.15,0.06,0,0,False,False,True,False,False,False,False,False,False
1005.01,1005,1,120.704811,-11.101521,-26.932,1.935,-2.901,4.5505945,3.1e-06,2.654,0.339,3731.0,123.723,7.10841,0.474611,414.775,1257.0,9.1309,0.006,100.711,14.121,5613.0,179.9,-179.9,4.33,-999.0,1.09,0.07,1,0,False,False,True,False,False,False,False,False,False
1006.01,1006,1,124.359239,-27.273521,-29.1,2.6,-6.8,2.5047918,0.0004076,4.3797563,0.1036554,2270.540219,81.38088,8.6950898,8.438766,1750.932635,1649.82207,9.2386,0.006,365.00800000000004,4.31375,6616.0,200.0,-200.0,4.33,-999.0,1.53429,1.4887,1,0,False,False,True,False,False,False,False,False,False
1007.01,1007,1,112.752393,-4.463359,0.357,0.058,3.399,6.9989206,1.37e-05,3.953,0.437,2840.0,0.943618,14.7752,0.764705,448.744,1282.0,8.87759,0.006,283.291,3.0025,6596.0,139.2,-139.2,3.71,0.09,2.7,0.13,0,0,False,False,False,False,True,False,False,False,False
1008.01,1008,1,109.382839,13.395219,-17.9,1.1,1.3,2.0483755,5.5e-06,2.767,0.861,483.0,41.94,3.19621,0.7174066,5644.4,1183.0137325,8.9362,0.012,144.297,4.31375,6858.5,584.6,-584.6,4.2,1.9,1.57,0.06,0,0,False,False,True,False,False,False,False,False,False
1009.01,1009,1,111.667845,-24.462111,-3.297,0.319,4.849,1.9600277,2.5e-06,2.0065257,0.050591,1707.627269,49.601223,10.5468,0.7174066,1063.342296,1456.424653,8.4331,0.028,866.147,172.097,8868.7,809.8,-809.8,4.33,-999.0,1.23434,0.06,1,0,False,False,False,False,True,False,False,False,False
